"Symbol","Description","Price","Optionable Stocks","Beta","Market Capitalization"
"EYE","National Vision Holdings Inc","$28.22","Yes","1.39","$2B (Small)"
"F","Ford Motor Co","$14.12","Yes","1.65","$56B (Large)"
"FAF","First American Financial Corp","$67.22","Yes","1.27","$7B (Small)"
"FAST","Fastenal Co","$46.41","Yes","0.87","$53B (Large)"
"FBIN","Fortune Brands Innovations Inc","$51.32","Yes","1.37","$6B (Small)"
"FBK","FB Financial Corp","$59.00","Yes","0.97","$3B (Small)"
"FBNC","First Bancorp (North Carolina)","$60.93","Yes","0.87","$3B (Small)"
"FBP","First BanCorp","$22.43","Yes","0.85","$4B (Small)"
"FCPT","Four Corners Property Trust Inc","$24.37","Yes","0.83","$3B (Small)"
"FCX","Freeport-McMoRan Inc","$62.84","Yes","1.42","$90B (Large)"
"FE","FirstEnergy Corp","$50.10","Yes","0.61","$29B (Mid)"
"FFBC","First Financial Bancorp","$30.31","Yes","0.97","$3B (Small)"
"FFIN","First Financial Bankshares Inc","$33.48","Yes","0.84","$5B (Small)"
"FHB","First Hawaiian Inc","$26.30","Yes","0.69","$3B (Small)"
"FHI","Federated Hermes Inc","$55.44","Yes","0.73","$4B (Small)"
"FHN","First Horizon Corp","$24.56","Yes","0.62","$12B (Mid)"
"FIBK","First Interstate Bancsystem Inc","$37.66","Yes","0.74","$4B (Small)"
"FIS","Fidelity National Information Services Inc","$46.80","Yes","0.93","$24B (Mid)"
"FISV","Fiserv Inc","$59.36","Yes","0.78","$32B (Mid)"
"FITB","Fifth Third Bancorp","$52.86","Yes","0.96","$48B (Large)"
"FIZZ","National Beverage Corp","$36.35","Yes","0.75","$3B (Small)"
"FLEX","Flex Ltd","$64.24","Yes","1.24","$24B (Mid)"
"FLG","Flagstar Bank NA","$14.18","Yes","1.06","$6B (Small)"
"FLNC","Fluence Energy Inc","$18.46","Yes","3.00","$3B (Small)"
"FLO","Flowers Foods Inc","$10.36","Yes","0.32","$2B (Small)"
"FLR","Fluor Corp","$45.48","Yes","1.38","$7B (Small)"
"FLS","Flowserve Corp","$89.69","Yes","1.27","$11B (Mid)"
"FNB","FNB Corp","$18.07","Yes","0.91","$6B (Small)"
"FND","Floor & Decor Holdings Inc","$70.20","Yes","1.72","$8B (Small)"
"FNF","Fidelity National Financial Inc","$56.74","Yes","0.99","$15B (Mid)"
"FOLD","Amicus Therapeutics Inc","$14.31","Yes","0.43","$4B (Small)"
"FOUR","Shift4 Payments Inc","$55.01","Yes","1.62","$5B (Small)"
"FOXA","Fox Corp","$56.35","Yes","0.56","$11B (Mid)"
"FR","First Industrial Realty Trust Inc","$58.92","Yes","1.14","$8B (Mid)"
"FRME","First Merchants Corp","$42.05","Yes","0.91","$3B (Small)"
"FRO","Frontline Plc","$30.92","Yes","0.05","$7B (Small)"
"FROG","Jfrog Ltd","$51.68","Yes","1.16","$6B (Small)"
"FRPT","Freshpet Inc","$67.72","Yes","1.70","$3B (Small)"
"FSK","FS KKR Capital Corp","$13.32","Yes","0.87","$4B (Small)"
"FSLY","Fastly Inc","$18.26","Yes","0.90","$3B (Small)"
"FTDR","Frontdoor Inc","$56.64","Yes","1.35","$4B (Small)"
"FTI","TechnipFMC PLC","$61.36","Yes","0.71","$25B (Mid)"
"FTNT","Fortinet Inc","$85.56","Yes","1.04","$64B (Large)"
"FTV","Fortive Corp","$56.90","Yes","1.10","$18B (Mid)"
"FUL","H.B. Fuller Company","$67.49","Yes","1.06","$4B (Small)"
"FULT","Fulton Financial Corp","$22.03","Yes","0.86","$4B (Small)"
"G","Genpact Ltd","$37.36","Yes","0.77","$6B (Small)"
"GAP","Gap Inc","$27.67","Yes","2.27","$10B (Mid)"
"GBCI","Glacier Bancorp Inc","$51.29","Yes","0.73","$7B (Small)"
"GBDC","Golub Capital BDC Inc","$12.63","Yes","0.45","$3B (Small)"
"GBTG","Global Business Travel Group Inc","$5.04","Yes","0.78","$3B (Small)"
"GCMG","GCM Grosvenor Inc","$12.04","Yes","0.81","$2B (Small)"
"GDDY","GoDaddy Inc","$89.12","Yes","0.96","$12B (Mid)"
"GDS","GDS Holdings Ltd","$46.12","Yes","0.36","$9B (Mid)"
"GEL","Genesis Energy LP","$17.54","Yes","0.79","$2B (Small)"
"GEN","Gen Digital Inc","$23.72","Yes","1.10","$14B (Mid)"
"GFI","Gold Fields Ltd","$54.60","Yes","0.71","$49B (Large)"
"GFS","GlobalFoundries Inc","$48.99","Yes","1.45","$27B (Mid)"
"GGAL","Grupo Financiero Galicia SA","$45.44","Yes","1.51","$6B (Small)"
"GIB","CGI Inc","$74.53","Yes","0.63","$16B (Mid)"
"GIL","Gildan Activewear Inc","$72.58","Yes","1.02","$13B (Mid)"
"GLBE","Global-E Online Ltd","$31.66","Yes","1.26","$5B (Small)"
"GLNG","Golar LNG Ltd","$43.44","Yes","0.17","$4B (Small)"
"GLOB","Globant SA","$49.40","Yes","1.22","$2B (Small)"
"GLPG","Galapagos NV","$33.92","Yes","0.26","$2B (Small)"
"GLPI","Gaming and Leisure Properties Inc","$46.40","Yes","0.67","$13B (Mid)"
"GLXY","Galaxy Digital Inc","$21.66","Yes","3.81","$8B (Mid)"
"GM","General Motors Co","$81.08","Yes","1.37","$73B (Large)"
"GMAB","Genmab A/S","$30.03","Yes","0.94","$18B (Mid)"
"GME","GameStop Corp","$23.57","Yes","2.11","$11B (Mid)"
"GMED","Globus Medical Inc","$88.09","Yes","1.07","$12B (Mid)"
"GNL","Global Net Lease Inc","$9.85","Yes","1.07","$2B (Small)"
"GNTX","Gentex Corp","$24.89","Yes","0.74","$5B (Small)"
"GNW","Genworth Financial Inc","$8.92","Yes","0.99","$4B (Small)"
"GPGI","GPGI Inc","$24.63","Yes","0.99","$7B (Small)"
"GPK","Graphic Packaging Holding Co","$12.42","Yes","0.66","$4B (Small)"
"GPN","Global Payments Inc","$68.48","Yes","0.75","$19B (Mid)"
"GRBK","Green Brick Partners Inc","$80.59","Yes","1.97","$4B (Small)"
"GRFS","Grifols SA","$9.32","Yes","0.66","$2B (Small)"
"GSAT","Globalstar Inc","$60.06","Yes","1.44","$8B (Mid)"
"GSK","GSK plc","$58.93","Yes","0.46","$120B (Large)"
"GT","Goodyear Tire & Rubber Co","$9.44","Yes","1.10","$3B (Small)"
"GTES","Gates Industrial Corporation PLC","$27.97","Yes","1.22","$7B (Small)"
"GTLB","GitLab Inc","$29.55","Yes","0.78","$5B (Small)"
"GTX","Garrett Motion Inc","$21.25","Yes","0.29","$4B (Small)"
"GXO","GXO Logistics Inc","$65.51","Yes","1.68","$8B (Small)"
"HAE","Haemonetics Corp","$57.76","Yes","0.30","$3B (Small)"
"HAL","Halliburton Co","$33.96","Yes","0.74","$28B (Mid)"
"HALO","Halozyme Therapeutics Inc","$79.44","Yes","0.96","$9B (Mid)"
"HASI","HA Sustainable Infrastructure Capital Inc","$39.70","Yes","1.45","$5B (Small)"
"HAYW","Hayward Holdings Inc","$16.71","Yes","1.12","$4B (Small)"
"HBAN","Huntington Bancshares Inc","$17.26","Yes","0.96","$35B (Mid)"
"HCC","Warrior Met Coal Inc","$86.28","Yes","0.69","$5B (Small)"
"HCM","HUTCHMED (China) Ltd","$14.76","Yes","0.44","$3B (Small)"
"HDB","HDFC Bank Ltd","$32.52","Yes","0.54","$167B (Large)"
"HE","Hawaiian Electric Industries Inc","$16.82","Yes","0.63","$3B (Small)"
"HESM","Hess Midstream LP","$36.68","Yes","0.59","$8B (Mid)"
"HGTY","Hagerty Inc","$12.06","Yes","0.90","$4B (Small)"
"HGV","Hilton Grand Vacations Inc","$46.22","Yes","1.43","$4B (Small)"
"HHH","Howard Hughes Holdings Inc","$82.15","Yes","1.23","$5B (Small)"
"HIMS","Hims & Hers Health Inc","$16.30","Yes","2.56","$4B (Small)"
"HIW","Highwoods Properties Inc","$23.12","Yes","1.10","$3B (Small)"
"HL","Hecla Mining Co","$22.60","Yes","1.26","$15B (Mid)"
"HLIO","Helios Technologies Inc","$75.65","Yes","1.25","$3B (Small)"
"HLN","Haleon PLC","$11.20","Yes","0.17","$50B (Large)"
"HMC","Honda Motor Co Ltd","$31.78","Yes","0.38","$41B (Mid)"
"HMY","Harmony Gold Mining Company Ltd","$20.99","Yes","0.98","$13B (Mid)"
"HNI","HNI Corp","$50.03","Yes","0.90","$2B (Small)"
"HOG","Harley-Davidson Inc","$20.42","Yes","1.41","$2B (Small)"
"HOLX","Hologic Inc","$75.04","Yes","0.73","$17B (Mid)"
"HOMB","Home BancShares Inc","$29.35","Yes","0.76","$6B (Small)"
"HOOD","Robinhood Markets Inc","$75.97","Yes","2.50","$68B (Large)"
"HP","Helmerich and Payne Inc","$33.20","Yes","0.55","$3B (Small)"
"HPE","Hewlett Packard Enterprise Co","$22.69","Yes","1.31","$30B (Mid)"
"HPQ","HP Inc","$19.26","Yes","1.20","$18B (Mid)"
"HQY","Healthequity Inc","$73.88","Yes","0.28","$6B (Small)"
"HR","Healthcare Realty Trust Inc","$17.96","Yes","0.93","$6B (Small)"
"HRB","H & R Block Inc","$31.05","Yes","0.41","$4B (Small)"
"HRL","Hormel Foods Corp","$23.78","Yes","0.34","$13B (Mid)"
"HSBC","HSBC Holdings PLC","$85.15","Yes","0.49","$292B (Large)"
"HSIC","Henry Schein Inc","$78.19","Yes","0.88","$9B (Mid)"
"HST","Host Hotels & Resorts Inc","$19.89","Yes","1.14","$14B (Mid)"
"HTGC","Hercules Capital Inc","$15.58","Yes","0.80","$3B (Small)"
"HTH","Hilltop Holdings Inc","$39.27","Yes","0.91","$2B (Small)"
"HTHT","H World Group Ltd","$52.53","Yes","0.09","$16B (Mid)"
"HUBG","Hub Group Inc","$39.66","Yes","1.16","$2B (Small)"
"HUN","Huntsman Corp","$13.21","Yes","0.64","$2B (Small)"
"HUT","Hut 8 Corp","$53.87","Yes","4.19","$6B (Small)"
"HWC","Hancock Whitney Corp","$71.16","Yes","1.05","$6B (Small)"
"HXL","Hexcel Corp","$89.79","Yes","1.01","$7B (Small)"
"HYMC","Hycroft Mining Holding Corporation","$35.55","Yes","2.68","$3B (Small)"
"IAC","IAC Inc","$34.31","Yes","1.11","$3B (Small)"
"IAG","IAMGOLD Corp","$21.63","Yes","1.37","$13B (Mid)"
"IBKR","Interactive Brokers Group Inc","$74.75","Yes","1.23","$127B (Large)"
"IBN","ICICI Bank Ltd","$30.62","Yes","0.37","$110B (Large)"
"IBOC","International Bancshares Corp","$72.07","Yes","0.73","$4B (Small)"
"IDYA","IDEAYA Biosciences Inc","$30.27","Yes","0.10","$3B (Small)"
"IE","Ivanhoe Electric Inc","$15.79","Yes","1.01","$2B (Small)"
"IEP","Icahn Enterprises LP","$8.06","Yes","0.72","$5B (Small)"
"IFF","International Flavors & Fragrances Inc","$83.00","Yes","1.00","$21B (Mid)"
"IHS","IHS Holding Ltd","$8.29","Yes","0.84","$3B (Small)"
"IMNM","Immunome Inc","$22.44","Yes","2.12","$2B (Small)"
"IMVT","Immunovant Inc","$25.75","Yes","0.63","$5B (Small)"
"INDB","Independent Bank Corp (Massachusetts)","$83.68","Yes","0.80","$4B (Small)"
"INDV","Indivior Pharmaceuticals Inc","$34.58","Yes","1.15","$4B (Small)"
"INFY","Infosys Ltd","$14.72","Yes","1.00","$60B (Large)"
"ING","ING Groep NV","$28.30","Yes","0.83","$82B (Large)"
"INTC","Intel Corp","$46.79","Yes","1.37","$234B (Large)"
"INTR","Inter & Co Inc","$8.73","Yes","1.19","$4B (Small)"
"INVH","Invitation Homes Inc","$26.99","Yes","0.83","$17B (Mid)"
"IONQ","IONQ Inc","$34.11","Yes","2.65","$12B (Mid)"
"IONS","Ionis Pharmaceuticals Inc","$80.60","Yes","0.32","$13B (Mid)"
"IOSP","Innospec Inc","$86.58","Yes","0.87","$2B (Small)"
"IOT","Samsara Inc","$27.32","Yes","1.61","$16B (Mid)"
"IP","International Paper Co","$49.10","Yes","1.04","$26B (Mid)"
"IRDM","Iridium Communications Inc","$23.17","Yes","0.61","$2B (Small)"
"IREN","IREN Ltd","$42.22","Yes","4.33","$14B (Mid)"
"IRT","Independence Realty Trust Inc","$16.35","Yes","1.01","$4B (Small)"
"ITGR","Integer Holdings Corp","$85.92","Yes","0.74","$3B (Small)"
"ITRI","Itron Inc","$89.36","Yes","1.43","$4B (Small)"
"ITUB","Itau Unibanco Holding SA","$9.16","Yes","0.62","$50B (Large)"
"IVZ","Invesco Ltd","$26.52","Yes","1.66","$12B (Mid)"
"JBLU","JetBlue Airways Corp","$5.91","Yes","1.70","$2B (Small)"
"JD","JD.com Inc","$27.14","Yes","0.42","$43B (Large)"
"JEF","Jefferies Financial Group Inc","$53.72","Yes","1.49","$11B (Mid)"
"JHG","Janus Henderson Group PLC","$49.05","Yes","1.53","$8B (Small)"
"JHX","James Hardie Industries PLC","$25.88","Yes","1.77","$15B (Mid)"
"JKS","JinkoSolar Holding Co Ltd","$26.56","Yes","0.49","$3B (Small)"
"JOBY","Joby Aviation Inc","$9.90","Yes","2.59","$10B (Mid)"
"JOE","St Joe Co","$70.18","Yes","1.31","$4B (Small)"
"JOYY","JOYY Inc","$61.18","Yes","0.39","$3B (Small)"
"KBH","KB Home","$66.36","Yes","1.46","$4B (Small)"
"KBR","KBR Inc","$41.30","Yes","0.52","$5B (Small)"
"KC","Kingsoft Cloud Holdings Ltd","$14.48","Yes","2.01","$4B (Small)"
"KD","Kyndryl Holdings Inc","$12.24","Yes","2.04","$3B (Small)"
"KDP","Keurig Dr Pepper Inc","$29.69","Yes","0.33","$40B (Mid)"
"KEN","Kenon Holdings Ltd","$79.23","Yes","1.20","$4B (Small)"
"KEP","Korea Electric Power Corp","$21.52","Yes","0.86","$28B (Mid)"
"KEY","KeyCorp","$21.70","Yes","1.06","$24B (Mid)"
"KFY","Korn Ferry","$61.23","Yes","1.33","$3B (Small)"
"KGC","Kinross Gold Corp","$34.40","Yes","0.76","$42B (Large)"
"KHC","Kraft Heinz Co","$24.80","Yes","0.04","$29B (Mid)"
"KIM","Kimco Realty Corp","$22.71","Yes","1.06","$15B (Mid)"
"KLIC","Kulicke and Soffa Industries Inc","$71.62","Yes","1.56","$4B (Small)"
"KMI","Kinder Morgan Inc","$32.32","Yes","0.68","$72B (Large)"
"KMT","Kennametal Inc","$39.59","Yes","1.46","$3B (Small)"
"KMX","Carmax Inc","$41.43","Yes","1.36","$6B (Small)"
"KN","Knowles Corp","$27.29","Yes","1.48","$2B (Small)"
"KNSA","Kiniksa Pharmaceuticals International PLC","$45.37","Yes","0.05","$3B (Small)"
"KNTK","Kinetik Holdings Inc","$41.54","Yes","0.73","$7B (Small)"
"KNX","Knight-Swift Transportation Holdings Inc","$59.55","Yes","1.12","$10B (Mid)"
"KO","Coca-Cola Co","$78.68","Yes","0.35","$338B (Large)"
"KR","Kroger Co","$71.25","Yes","0.60","$45B (Large)"
"KRC","Kilroy Realty Corp","$31.75","Yes","1.12","$4B (Small)"
"KRG","Kite Realty Group Trust","$25.03","Yes","0.87","$5B (Small)"
"KSPI","Kaspi.kz AO","$73.30","Yes","0.02","$14B (Mid)"
"KSS","Kohls Corp","$19.85","Yes","1.41","$2B (Small)"
"KT","KT Corp","$23.56","Yes","0.61","$11B (Mid)"
"KTB","Kontoor Brands Inc","$67.46","Yes","1.16","$4B (Small)"
"KTOS","Kratos Defense and Security Solutions Inc","$89.06","Yes","1.13","$15B (Mid)"
"KYMR","Kymera Therapeutics Inc","$82.34","Yes","2.24","$7B (Small)"
"LASR","nLIGHT Inc","$52.28","Yes","2.27","$3B (Small)"
"LAUR","Laureate Education Inc","$34.77","Yes","0.58","$5B (Small)"
"LAZ","Lazard Inc","$52.31","Yes","1.38","$5B (Small)"
"LBRT","Liberty Energy Inc","$25.90","Yes","0.51","$4B (Small)"
"LCID","Lucid Group Inc","$10.28","Yes","1.12","$3B (Small)"
"LEGN","Legend Biotech Corp","$17.58","Yes","0.08","$3B (Small)"
"LEVI","Levi Strauss & Co","$21.91","Yes","1.28","$9B (Mid)"
"LFST","LifeStance Health Group Inc","$7.03","Yes","1.12","$3B (Small)"
"LI","Li Auto Inc","$18.46","Yes","0.57","$20B (Mid)"
"LIVN","LivaNova PLC","$65.80","Yes","0.94","$4B (Small)"
"LKQ","LKQ Corp","$34.10","Yes","0.87","$9B (Mid)"
"LMND","Lemonade Inc","$63.76","Yes","2.11","$5B (Small)"
"LNC","Lincoln National Corp","$40.88","Yes","1.27","$8B (Mid)"
"LNT","Alliant Energy Corp","$71.19","Yes","0.65","$18B (Mid)"
"LOGI","Logitech International SA","$89.41","Yes","1.10","$13B (Mid)"
"LQDA","Liquidia Corp","$39.04","Yes","0.50","$3B (Small)"
"LRN","Stride Inc","$84.89","Yes","0.12","$4B (Small)"
"LTH","Life Time Group Holdings Inc","$29.06","Yes","1.67","$6B (Small)"
"LTM","LATAM Airlines Group SA","$59.71","Yes","3.91","$17B (Mid)"
"LUMN","Lumen Technologies Inc","$8.39","Yes","1.56","$9B (Mid)"
"LUNR","Intuitive Machines Inc","$16.13","Yes","1.42","$3B (Small)"
"LUV","Southwest Airlines Co","$51.11","Yes","1.08","$25B (Mid)"
"LVS","Las Vegas Sands Corp","$57.15","Yes","0.86","$38B (Mid)"
"LW","Lamb Weston Holdings Inc","$49.82","Yes","0.40","$7B (Small)"
"LXP","LXP Industrial Trust","$47.66","Yes","1.11","$3B (Small)"
"LYB","LyondellBasell Industries NV","$57.61","Yes","0.63","$19B (Mid)"
"LYFT","Lyft Inc","$13.27","Yes","1.94","$5B (Small)"
"LYG","Lloyds Banking Group PLC","$5.61","Yes","0.90","$83B (Large)"
"M","Macy's Inc","$21.63","Yes","1.50","$6B (Small)"
"MAC","Macerich Co","$18.52","Yes","2.19","$5B (Small)"
"MAIN","Main Street Capital Corp","$59.44","Yes","0.79","$5B (Small)"
"MANU","Manchester United PLC","$17.44","Yes","0.51","$3B (Small)"
"MARA","MARA Holdings Inc","$7.25","Yes","5.56","$3B (Small)"
"MAS","Masco Corp","$76.19","Yes","1.24","$16B (Mid)"
"MAT","Mattel Inc","$16.47","Yes","0.74","$5B (Small)"
"MBIN","Merchants Bancorp","$47.24","Yes","1.22","$2B (Small)"
"MBLY","Mobileye Global Inc","$9.19","Yes","0.52","$8B (Mid)"
"MC","Moelis & Co","$65.94","Yes","1.88","$5B (Small)"
"MCHB","Mechanics Bancorp","$15.37","Yes","1.54","$4B (Small)"
"MCHP","Microchip Technology Inc","$78.56","Yes","1.42","$43B (Large)"
"MDLZ","Mondelez International Inc","$62.59","Yes","0.39","$80B (Large)"
"MDU","MDU Resources Group Inc","$20.80","Yes","0.81","$4B (Small)"
"MEOH","Methanex Corp","$48.75","Yes","0.67","$4B (Small)"
"MESO","Mesoblast Ltd","$16.67","Yes","2.16","$2B (Small)"
"MET","MetLife Inc","$77.31","Yes","0.74","$51B (Large)"
"MFC","Manulife Financial Corp","$36.77","Yes","0.83","$62B (Large)"
"MFG","Mizuho Financial Group Inc","$9.90","Yes","0.35","$122B (Large)"
"MGA","Magna International Inc","$68.73","Yes","1.42","$19B (Mid)"
"MGEE","MGE Energy Inc","$82.88","Yes","0.81","$3B (Small)"
"MGM","MGM Resorts International","$34.14","Yes","1.39","$9B (Mid)"
"MGY","Magnolia Oil & Gas Corp","$26.78","Yes","0.90","$5B (Small)"
"MIR","Mirion Technologies Inc","$22.51","Yes","1.00","$6B (Small)"
"MKC","McCormick & Company Inc","$71.49","Yes","0.57","$18B (Mid)"
"MLCO","Melco Resorts & Entertainment Ltd","$5.53","Yes","0.60","$2B (Small)"
"MMS","Maximus Inc","$74.69","Yes","0.60","$4B (Small)"
"MMSI","Merit Medical Systems Inc","$81.66","Yes","0.61","$5B (Small)"
"MMYT","MakeMyTrip Ltd","$56.25","Yes","0.63","$5B (Small)"
"MNDY","monday.com Ltd","$72.38","Yes","1.32","$4B (Small)"
"MNSO","MINISO Group Holding Ltd","$19.27","Yes","0.14","$6B (Small)"
"MNST","Monster Beverage Corp","$81.48","Yes","0.45","$80B (Large)"
"MO","Altria Group Inc","$67.25","Yes","0.48","$113B (Large)"
"MOS","Mosaic Co","$29.65","Yes","0.94","$9B (Mid)"
"MP","MP Materials Corp","$58.03","Yes","1.56","$10B (Mid)"
"MPLX","MPLX LP","$56.83","Yes","0.56","$58B (Large)"
"MPT","Medical Properties Trust Inc","$5.44","Yes","1.43","$3B (Small)"
"MRCY","Mercury Systems Inc","$82.36","Yes","0.80","$5B (Small)"
"MRNA","Moderna Inc","$42.23","Yes","1.35","$16B (Mid)"
"MRVL","Marvell Technology Inc","$78.61","Yes","1.97","$69B (Large)"
"MT","ArcelorMittal SA","$61.51","Yes","1.47","$47B (Large)"
"MTCH","Match Group Inc","$30.50","Yes","1.31","$7B (Small)"
"MTDR","Matador Resources Co","$47.80","Yes","1.08","$6B (Small)"
"MTG","MGIC Investment Corp","$26.66","Yes","0.82","$6B (Small)"
"MTH","Meritage Homes Corp","$80.60","Yes","1.45","$5B (Small)"
"MTX","Minerals Technologies Inc","$72.97","Yes","1.22","$2B (Small)"
"MUFG","Mitsubishi UFJ Financial Group Inc","$19.73","Yes","0.35","$223B (Large)"
"MUR","Murphy Oil Corp","$33.62","Yes","0.71","$5B (Small)"
"MWA","Mueller Water Products Inc","$30.13","Yes","1.14","$5B (Small)"
"NAMS","NewAmsterdam Pharma Company NV","$34.63","Yes","0.05","$4B (Small)"
"NBTB","NBT Bancorp Inc","$45.82","Yes","0.50","$2B (Small)"
"NCLH","Norwegian Cruise Line Holdings Ltd","$21.49","Yes","2.01","$10B (Mid)"
"NDAQ","Nasdaq Inc","$79.47","Yes","1.07","$45B (Large)"
"NE","Noble Corporation PLC","$45.82","Yes","1.07","$7B (Small)"
"NEOG","Neogen Corp","$10.94","Yes","1.95","$2B (Small)"
"NFG","National Fuel Gas Co","$87.34","Yes","0.59","$8B (Mid)"
"NFLX","Netflix Inc","$76.87","Yes","1.73","$325B (Large)"
"NG","NovaGold Resources Inc","$10.75","Yes","0.80","$5B (Small)"
"NGD","New Gold Inc","$11.06","Yes","0.62","$9B (Mid)"
"NGVT","Ingevity Corp","$76.57","Yes","1.30","$3B (Small)"
"NHI","National Health Investors Inc","$89.31","Yes","0.65","$4B (Small)"
"NI","NiSource Inc","$46.36","Yes","0.65","$22B (Mid)"
"NJR","New Jersey Resources Corp","$54.23","Yes","0.58","$5B (Small)"
"NKE","Nike Inc","$63.13","Yes","1.27","$93B (Large)"
"NLY","Annaly Capital Management Inc","$23.07","Yes","1.29","$17B (Mid)"
"NMIH","NMI Holdings Inc","$39.65","Yes","0.62","$3B (Small)"
"NMR","Nomura Holdings Inc","$9.54","Yes","0.68","$28B (Mid)"
"NMRK","Newmark Group Inc","$14.82","Yes","1.89","$3B (Small)"
"NN","NextNav Inc","$16.13","Yes","0.98","$2B (Small)"
"NNN","NNN REIT Inc","$44.34","Yes","0.82","$8B (Mid)"
"NOG","Northern Oil and Gas Inc","$25.96","Yes","0.99","$3B (Small)"
"NOK","Nokia Oyj","$7.03","Yes","0.81","$39B (Mid)"
"NOV","Nov Inc","$19.20","Yes","0.91","$7B (Small)"
"NSA","National Storage Affiliates Trust","$33.47","Yes","1.19","$3B (Small)"
"NSIT","Insight Enterprises Inc","$85.11","Yes","0.91","$3B (Small)"
"NTB","Bank of NT Butterfield & Son Ltd","$52.74","Yes","0.53","$2B (Small)"
"NTCT","Netscout Systems Inc","$29.79","Yes","0.63","$2B (Small)"
"NTNX","Nutanix Inc","$41.76","Yes","0.47","$11B (Mid)"
"NU","Nu Holdings Ltd","$16.82","Yes","1.09","$82B (Large)"
"NVO","Novo Nordisk A/S","$49.57","Yes","0.71","$167B (Large)"
"NVST","Envista Holdings Corp","$28.97","Yes","0.94","$5B (Small)"
"NWE","NorthWestern Energy Group Inc","$69.68","Yes","0.35","$4B (Small)"
"NWG","NatWest Group PLC","$16.07","Yes","0.89","$64B (Large)"
"NWSA","News Corp","$22.72","Yes","1.00","$8B (Mid)"
"NYT","New York Times Co","$72.94","Yes","1.11","$12B (Mid)"
"O","Realty Income Corp","$65.66","Yes","0.78","$60B (Large)"
"OBDC","Blue Owl Capital Corp","$11.47","Yes","0.69","$6B (Small)"
"OGE","OGE Energy Corp","$46.98","Yes","0.61","$10B (Mid)"
"OGS","ONE Gas Inc","$86.04","Yes","0.79","$5B (Small)"
"OHI","Omega Healthcare Investors Inc","$47.40","Yes","0.53","$14B (Mid)"
"OI","O-I Glass Inc","$14.79","Yes","0.80","$2B (Small)"
"OII","Oceaneering International Inc","$33.15","Yes","1.20","$3B (Small)"
"OKE","ONEOK Inc","$86.11","Yes","0.90","$54B (Large)"
"OKLO","Oklo Inc","$65.69","Yes","0.83","$10B (Mid)"
"OKTA","Okta Inc","$87.26","Yes","0.76","$15B (Mid)"
"OLN","Olin Corp","$25.88","Yes","1.54","$3B (Small)"
"OMC","Omnicom Group Inc","$69.00","Yes","0.77","$22B (Mid)"
"OMF","OneMain Holdings Inc","$56.91","Yes","1.32","$7B (Small)"
