"Symbol","Description","Price","Exchange","Optionable Stocks","Average Volume (10 Day)"
"AAON","Aaon Inc","$75.70","NASDAQ","Yes","986,030"
"ABCB","Ameris Bancorp","$75.86","NYS","Yes","502,140"
"ACIW","ACI Worldwide Inc","$48.60","NASDAQ","Yes","774,230"
"ACLS","Axcelis Technologies Inc","$81.82","NASDAQ","Yes","440,160"
"ACT","Enact Holdings Inc","$40.10","NASDAQ","Yes","270,660"
"AEIS","Advanced Energy Industries Inc","$217.26","NASDAQ","Yes","306,610"
"AFG","American Financial Group Inc","$137.94","NYS","Yes","385,040"
"AGCO","AGCO Corp","$104.38","NYS","Yes","741,780"
"AGO","Assured Guaranty Ltd","$90.59","NYS","Yes","445,260"
"AGX","Argan Inc","$320.73","NYS","Yes","259,010"
"AIN","Albany International Corp","$51.91","NYS","Yes","321,540"
"AIR","AAR Corp","$84.51","NYS","Yes","409,330"
"AIT","Applied Industrial Technologies Inc","$263.40","NYS","Yes","338,840"
"AIZ","Assurant Inc","$241.44","NYS","Yes","348,890"
"ALGT","Allegiant Travel Co","$84.65","NASDAQ","Yes","270,950"
"ALLE","Allegion PLC","$161.35","NYS","Yes","885,030"
"ALRM","Alarm.com Holdings Inc","$51.82","NASDAQ","Yes","415,460"
"ALSN","Allison Transmission Holdings Inc","$99.85","NYS","Yes","897,200"
"ALV","Autoliv Inc","$120.23","NYS","Yes","514,340"
"AMBA","Ambarella Inc","$70.07","NASDAQ","Yes","602,950"
"AMG","Affiliated Managers Group Inc","$292.08","NYS","Yes","472,210"
"AMP","Ameriprise Financial Inc","$497.78","NYS","Yes","628,740"
"AMPH","Amphastar Pharmaceuticals Inc","$26.79","NASDAQ","Yes","398,050"
"AMR","Alpha Metallurgical Resources Inc","$205.40","NYS","Yes","273,450"
"AMRC","Ameresco Inc","$30.07","NYS","Yes","455,250"
"AMSC","American Superconductor Corp","$29.24","NASDAQ","Yes","767,240"
"AN","AutoNation Inc","$210.54","NYS","Yes","404,490"
"ANAB","AnaptysBio Inc","$50.91","NASDAQ","Yes","422,250"
"ANDE","Andersons Inc","$53.63","NASDAQ","Yes","446,000"
"ANIP","ANI Pharmaceuticals Inc","$81.38","NASDAQ","Yes","445,010"
"AON","Aon PLC","$356.73","NYS","Yes","885,910"
"AORT","Artivion Inc","$46.33","NYS","Yes","373,950"
"APAM","Artisan Partners Asset Management Inc","$41.70","NYS","Yes","559,550"
"APPN","Appian Corp","$35.66","NASDAQ","Yes","542,630"
"ARCB","ArcBest Corp","$76.89","NASDAQ","Yes","485,840"
"ARGX","argenx SE","$837.45","NASDAQ","Yes","280,770"
"ARW","Arrow Electronics Inc","$113.04","NYS","Yes","405,760"
"ASGN","ASGN Inc","$49.83","NYS","Yes","560,710"
"ASH","Ashland Inc","$59.41","NYS","Yes","792,410"
"ASND","Ascendis Pharma A/S","$211.02","NASDAQ","Yes","649,170"
"ASTH","Astrana Health Inc","$25.18","NASDAQ","Yes","589,180"
"ATAT","Atour Lifestyle Holdings Ltd","$40.06","NASDAQ","Yes","875,770"
"ATGE","Adtalem Global Education Inc","$104.53","NYS","Yes","484,730"
"ATKR","Atkore Inc","$64.14","NYS","Yes","400,460"
"ATMU","Atmus Filtration Technologies Inc","$52.65","NYS","Yes","703,070"
"ATR","Aptargroup Inc","$123.21","NYS","Yes","530,180"
"ATRC","AtriCure Inc","$40.43","NASDAQ","Yes","372,760"
"ATRO","Astronics Corp","$54.98","NASDAQ","Yes","651,150"
"AVA","Avista Corp","$38.63","NYS","Yes","997,150"
"AVAV","AeroVironment Inc","$249.15","NASDAQ","Yes","993,200"
"AVB","AvalonBay Communities Inc","$183.90","NYS","Yes","930,510"
"AVNT","Avient Corp","$31.62","NYS","Yes","841,770"
"AVT","Avnet Inc","$48.97","NASDAQ","Yes","808,790"
"AVY","Avery Dennison Corp","$182.65","NYS","Yes","639,730"
"AWI","Armstrong World Industries Inc","$192.15","NYS","Yes","322,860"
"AWR","American States Water Co","$73.08","NYS","Yes","259,230"
"AX","Axos Financial Inc","$87.59","NYS","Yes","395,280"
"AXGN","AxoGen Inc","$33.45","NASDAQ","Yes","712,520"
"AXON","Axon Enterprise Inc","$580.55","NASDAQ","Yes","927,730"
"AXS","AXIS Capital Holdings Ltd","$109.10","NYS","Yes","566,150"
"AXSM","Axsome Therapeutics Inc","$150.68","NASDAQ","Yes","469,440"
"AYI","Acuity Inc","$369.08","NYS","Yes","309,500"
"AZTA","Azenta Inc","$34.68","NASDAQ","Yes","739,900"
"BAP","Credicorp Ltd","$291.05","NYS","Yes","272,710"
"BBT","Beacon Financial Corp","$26.63","NYS","Yes","887,400"
"BBW","Build-A-Bear Workshop Inc","$59.30","NYS","Yes","346,410"
"BC","Brunswick Corp","$75.48","NYS","Yes","655,080"
"BCC","Boise Cascade Co","$74.53","NYS","Yes","458,390"
"BCO","Brinks Co","$119.02","NYS","Yes","297,560"
"BCPC","Balchem Corp","$156.68","NASDAQ","Yes","262,370"
"BDC","Belden Inc","$117.43","NYS","Yes","338,300"
"BEPC","Brookfield Renewable Corp","$38.95","NYS","Yes","879,470"
"BETA","BETA Technologies Inc","$29.47","NYS","Yes","773,140"
"BETR","Better Home & Finance Holding Co","$34.12","NASDAQ","Yes","439,830"
"BFAM","Bright Horizons Family Solutions Inc","$102.24","NYS","Yes","553,820"
"BFH","Bread Financial Holdings Inc","$75.18","NYS","Yes","715,230"
"BHE","Benchmark Electronics Inc","$44.46","NYS","Yes","437,010"
"BHF","Brighthouse Financial Inc","$64.90","NASDAQ","Yes","765,310"
"BIP","Brookfield Infrastructure Partners LP","$34.79","NYS","Yes","600,090"
"BIPC","Brookfield Infrastructure Corp","$46.03","NYS","Yes","506,610"
"BJRI","BJ's Restaurants Inc","$39.77","NASDAQ","Yes","507,310"
"BKE","Buckle Inc","$53.87","NYS","Yes","555,320"
"BKU","BankUnited Inc","$44.89","NYS","Yes","738,960"
"BKV","BKV Corp","$27.48","NYS","Yes","894,800"
"BL","BlackLine Inc","$57.66","NASDAQ","Yes","556,850"
"BLBD","Blue Bird Corp","$50.09","NASDAQ","Yes","340,900"
"BLD","TopBuild Corp","$427.77","NYS","Yes","289,950"
"BLFS","BioLife Solutions Inc","$25.12","NASDAQ","Yes","367,930"
"BLK","BlackRock Inc","$1,088.40","NYS","Yes","518,900"
"BLKB","Blackbaud Inc","$64.30","NASDAQ","Yes","308,550"
"BMO","Bank of Montreal","$131.24","NYS","Yes","473,200"
"BOH","Bank of Hawaii Corp","$69.21","NYS","Yes","391,060"
"BOKF","BOK Financial Corp","$120.76","NASDAQ","Yes","336,150"
"BOOT","Boot Barn Holdings Inc","$178.38","NYS","Yes","590,330"
"BPOP","Popular Inc","$125.79","NASDAQ","Yes","584,620"
"BR","Broadridge Financial Solutions Inc","$227.38","NYS","Yes","732,090"
"BSAC","Banco Santander Chile","$31.29","NYS","Yes","284,660"
"BURL","Burlington Stores Inc","$287.02","NYS","Yes","794,190"
"BWXT","BWX Technologies Inc","$175.49","NYS","Yes","822,440"
"BYD","Boyd Gaming Corp","$86.13","NYS","Yes","971,850"
"CACI","CACI International Inc","$539.48","NYS","Yes","273,430"
"CAE","CAE Inc","$31.17","NYS","Yes","564,040"
"CALM","Cal-Maine Foods Inc","$82.08","NASDAQ","Yes","988,860"
"CALX","Calix Inc","$53.43","NYS","Yes","733,690"
"CAMT","Camtek Ltd","$107.90","NASDAQ","Yes","319,230"
"CAR","Avis Budget Group Inc","$129.72","NASDAQ","Yes","710,920"
"CARG","CarGurus Inc","$38.58","NASDAQ","Yes","834,790"
"CASH","Pathward Financial Inc","$73.03","NASDAQ","Yes","251,440"
"CASY","Caseys General Stores Inc","$566.94","NASDAQ","Yes","283,040"
"CATY","Cathay General Bancorp","$49.45","NASDAQ","Yes","568,660"
"CBT","Cabot Corp","$66.13","NYS","Yes","525,310"
"CBZ","CBIZ Inc","$52.92","NYS","Yes","510,430"
"CDP","COPT Defense Properties","$28.29","NYS","Yes","927,740"
"CDTX","Cidara Therapeutics Inc","$220.41","NASDAQ","Yes","952,020"
"CECO","CECO Environmental Corp","$60.98","NASDAQ","Yes","340,350"
"CELC","Celcuity Inc","$101.55","NASDAQ","Yes","875,290"
"CFR","Cullen/Frost Bankers Inc","$128.76","NYS","Yes","463,900"
"CGON","CG Oncology Inc","$39.86","NASDAQ","Yes","925,650"
"CHDN","Churchill Downs Inc","$114.51","NASDAQ","Yes","649,560"
"CHEF","Chefs' Warehouse Inc","$63.24","NASDAQ","Yes","340,730"
"CHH","Choice Hotels International Inc","$96.58","NYS","Yes","824,450"
"CHKP","Check Point Software Technologies Ltd","$188.58","NASDAQ","Yes","547,500"
"CHRD","Chord Energy Corp","$91.29","NASDAQ","Yes","579,170"
"CIB","Grupo Cibest SA","$64.96","NYS","Yes","344,170"
"CINF","Cincinnati Financial Corp","$164.99","NASDAQ","Yes","561,780"
"CLDX","Celldex Therapeutics Inc","$26.03","NASDAQ","Yes","644,870"
"CLH","Clean Harbors Inc","$240.21","NYS","Yes","351,650"
"CMI","Cummins Inc","$514.64","NYS","Yes","821,950"
"CNA","CNA Financial Corp","$48.03","NYS","Yes","431,350"
"CNMD","Conmed Corp","$41.48","NYS","Yes","533,080"
"CNO","CNO Financial Group Inc","$42.84","NYS","Yes","872,040"
"CNOB","ConnectOne Bancorp Inc","$26.69","NASDAQ","Yes","280,270"
"CNR","Core Natural Resources Inc","$89.55","NYS","Yes","725,460"
"CNS","Cohen & Steers Inc","$63.99","NYS","Yes","288,410"
"CNXC","Concentrix Corp","$42.34","NASDAQ","Yes","924,740"
"COCO","Vita Coco Company Inc","$54.52","NASDAQ","Yes","631,750"
"COKE","Coca-Cola Consolidated Inc","$154.62","NASDAQ","Yes","699,200"
"COLL","Collegium Pharmaceutical Inc","$49.48","NASDAQ","Yes","478,620"
"COLM","Columbia Sportswear Co","$55.27","NASDAQ","Yes","505,870"
"CPAY","Corpay Inc","$308.97","NYS","Yes","569,660"
"CR","Crane Co","$188.25","NYS","Yes","277,790"
"CRI","Carter's Inc","$31.80","NYS","Yes","858,630"
"CRL","Charles River Laboratories International Inc","$203.16","NYS","Yes","609,870"
"CRS","Carpenter Technology Corp","$325.40","NYS","Yes","978,470"
"CRUS","Cirrus Logic Inc","$120.13","NASDAQ","Yes","440,160"
"CSGS","Csg Systems International Inc","$76.92","NASDAQ","Yes","414,990"
"CSL","Carlisle Companies Inc","$326.89","NYS","Yes","445,280"
"CSTL","Castle Biosciences Inc","$39.27","NASDAQ","Yes","298,980"
"CTGO","Contango ORE Inc","$27.42","NYS","Yes","282,480"
"CUBI","Customers Bancorp Inc","$74.89","NYS","Yes","521,450"
"CVLT","Commvault Systems Inc","$127.56","NASDAQ","Yes","710,050"
"CW","Curtiss-Wright Corp","$562.13","NYS","Yes","264,630"
"CWEN/A","Clearway Energy Inc","$31.76","NYS","Yes","331,280"
"CWT","California Water Service Group","$43.56","NYS","Yes","523,840"
"CXT","Crane NXT Co","$47.94","NYS","Yes","725,190"
"CYBR","Cyberark Software Ltd","$451.19","NASDAQ","Yes","802,560"
"DAVE","Dave Inc","$227.74","NASDAQ","Yes","414,240"
"DCI","Donaldson Company Inc","$90.96","NYS","Yes","810,110"
"DCOM","Dime Community Bancshares Inc","$31.09","NASDAQ","Yes","269,530"
"DFIN","Donnelley Financial Solutions Inc","$47.05","NYS","Yes","262,610"
"DGII","Digi International Inc","$44.26","NASDAQ","Yes","357,610"
"DGX","Quest Diagnostics Inc","$175.52","NYS","Yes","918,620"
"DIN","Dine Brands Global Inc","$32.48","NYS","Yes","445,770"
"DIOD","Diodes Inc","$50.02","NASDAQ","Yes","291,370"
"DLB","Dolby Laboratories Inc","$65.15","NYS","Yes","659,140"
"DNTH","Dianthus Therapeutics Inc","$41.62","NASDAQ","Yes","816,770"
"DOV","Dover Corp","$199.03","NYS","Yes","991,870"
"DPZ","Domino's Pizza Inc","$421.25","NASDAQ","Yes","563,260"
"DQ","Daqo New Energy Corp","$30.21","NYS","Yes","506,700"
"DRD","DRDGOLD Ltd","$30.54","NYS","Yes","459,810"
"DRS","Leonardo DRS Inc","$34.13","NASDAQ","Yes","855,650"
"DSGX","Descartes Systems Group Inc","$88.99","NASDAQ","Yes","340,610"
"DTM","DT Midstream Inc","$120.80","NYS","Yes","705,120"
"DVA","DaVita Inc","$113.50","NYS","Yes","746,930"
"DY","Dycom Industries Inc","$343.50","NYS","Yes","803,640"
"EAT","Brinker International Inc","$143.30","NYS","Yes","977,300"
"ECG","Everus Construction Group Inc","$88.82","NYS","Yes","450,850"
"EDU","New Oriental Education & Technology Group Inc","$55.39","NYS","Yes","571,360"
"EE","Excelerate Energy Inc","$28.06","NYS","Yes","282,890"
"EEFT","Euronet Worldwide Inc","$75.81","NASDAQ","Yes","828,160"
"EG","Everest Group Ltd","$340.03","NYS","Yes","420,380"
"EGP","Eastgroup Properties Inc","$180.86","NYS","Yes","311,860"
"EIG","Employers Holdings Inc","$43.38","NYS","Yes","379,320"
"EMBJ","Embraer SA","$64.28","NYS","Yes","630,280"
"EME","EMCOR Group Inc","$623.26","NYS","Yes","351,420"
"ENOV","Enovis Corp","$27.08","NYS","Yes","875,230"
"ENS","EnerSys","$148.12","NYS","Yes","509,830"
"ENSG","Ensign Group Inc","$176.33","NASDAQ","Yes","414,180"
"ENVA","Enova International Inc","$162.86","NYS","Yes","301,260"
"EPAC","Enerpac Tool Group Corp","$39.85","NYS","Yes","800,180"
"EPAM","Epam Systems Inc","$211.64","NYS","Yes","726,970"
"EPR","EPR Properties","$50.48","NYS","Yes","729,680"
"EQIX","Equinix Inc","$765.00","NASDAQ","Yes","567,380"
"ESAB","ESAB Corp","$113.09","NYS","Yes","374,350"
"ESNT","Essent Group Ltd","$65.75","NYS","Yes","761,240"
"ESS","Essex Property Trust Inc","$262.99","NYS","Yes","525,770"
"ESTA","Establishment Labs Holdings Inc","$72.92","NASDAQ","Yes","486,620"
"EVER","EverQuote Inc","$26.69","NASDAQ","Yes","295,720"
"EVR","Evercore Inc","$347.19","NYS","Yes","292,180"
"EVTC","Evertec Inc","$29.49","NYS","Yes","415,390"
"EWBC","East West Bancorp Inc","$114.82","NASDAQ","Yes","870,460"
"EXP","Eagle Materials Inc","$212.57","NYS","Yes","532,010"
"EXPO","Exponent Inc","$71.22","NASDAQ","Yes","491,860"
"FAF","First American Financial Corp","$62.09","NYS","Yes","671,550"
"FBK","FB Financial Corp","$56.84","NYS","Yes","413,980"
"FCN","FTI Consulting Inc","$175.87","NYS","Yes","386,340"
"FDP","Fresh Del Monte Produce Inc","$35.78","NYS","Yes","336,900"
"FDS","Factset Research Systems Inc","$293.43","NYS","Yes","903,480"
"FEIM","Frequency Electronics Inc","$55.98","NASDAQ","Yes","340,260"
"FELE","Franklin Electric Co Inc","$97.81","NASDAQ","Yes","295,960"
"FFBC","First Financial Bancorp","$25.44","NASDAQ","Yes","793,420"
"FFIN","First Financial Bankshares Inc","$30.52","NASDAQ","Yes","882,850"
"FG","F&G Annuities & Life Inc","$32.31","NYS","Yes","413,680"
"FHI","Federated Hermes Inc","$53.86","NYS","Yes","537,940"
"FIZZ","National Beverage Corp","$32.19","NASDAQ","Yes","368,410"
"FMX","Fomento Economico Mexicano SAB de CV","$102.84","NYS","Yes","519,170"
"FN","Fabrinet","$472.08","NYS","Yes","525,620"
"FR","First Industrial Realty Trust Inc","$58.01","NYS","Yes","844,210"
"FRGE","Forge Global Holdings Inc","$44.67","NYS","Yes","296,550"
"FRME","First Merchants Corp","$38.00","NASDAQ","Yes","292,570"
"FRT","Federal Realty Investment Trust","$102.07","NYS","Yes","653,390"
"FSS","Federal Signal Corp","$111.54","NYS","Yes","471,470"
"FTAI","FTAI Aviation Ltd","$172.83","NASDAQ","Yes","523,620"
"FTDR","Frontdoor Inc","$58.46","NASDAQ","Yes","629,210"
"FUL","H.B. Fuller Company","$60.83","NYS","Yes","325,600"
"FUTU","Futu Holdings Ltd","$166.03","NASDAQ","Yes","939,030"
"FWRD","Forward Air Corp (Delaware)","$25.53","NASDAQ","Yes","352,030"
"GBX","Greenbrier Companies Inc","$46.52","NYS","Yes","355,120"
"GCT","GigaCloud Technology Inc","$39.79","NASDAQ","Yes","487,940"
"GDS","GDS Holdings Ltd","$34.65","NASDAQ","Yes","869,720"
"GEF","Greif Inc","$70.21","NYS","Yes","318,670"
"GFF","Griffon Corp","$75.11","NYS","Yes","304,520"
"GGG","Graco Inc","$83.26","NYS","Yes","745,790"
"GIB","CGI Inc","$93.81","NYS","Yes","311,080"
"GIII","G-III Apparel Group Ltd","$29.87","NASDAQ","Yes","578,510"
"GIL","Gildan Activewear Inc","$62.68","NYS","Yes","941,440"
"GKOS","Glaukos Corp","$115.55","NYS","Yes","716,160"
"GL","Globe Life Inc","$141.76","NYS","Yes","518,820"
"GLBE","Global-E Online Ltd","$40.10","NASDAQ","Yes","880,640"
"GOLD","Gold.com Inc","$33.42","NYS","Yes","868,380"
"GOLF","Acushnet Holdings Corp","$82.76","NYS","Yes","322,320"
"GRAL","Grail Inc","$87.88","NASDAQ","Yes","821,840"
"GRDN","Guardian Pharmacy Services Inc","$30.98","NYS","Yes","290,050"
"GSAT","Globalstar Inc","$59.99","NASDAQ","Yes","805,080"
"GSHD","Goosehead Insurance Inc","$75.24","NASDAQ","Yes","285,770"
"GSL","Global Ship Lease Inc","$35.00","NYS","Yes","311,290"
"GTLS","Chart Industries Inc","$206.15","NYS","Yes","655,340"
"GTY","Getty Realty Corp","$27.33","NYS","Yes","435,800"
"GVA","Granite Construction Inc","$118.10","NYS","Yes","723,530"
"GWW","WW Grainger Inc","$1,026.31","NYS","Yes","312,110"
"H","Hyatt Hotels Corp","$164.74","NYS","Yes","754,390"
"HAE","Haemonetics Corp","$80.53","NYS","Yes","680,520"
"HAFC","Hanmi Financial Corp","$27.51","NASDAQ","Yes","505,210"
"HASI","HA Sustainable Infrastructure Capital Inc","$32.36","NYS","Yes","943,070"
"HCC","Warrior Met Coal Inc","$89.16","NYS","Yes","794,090"
"HEI","HEICO Corp","$329.24","NYS","Yes","548,370"
"HG","Hamilton Insurance Group Ltd","$28.11","NYS","Yes","452,060"
"HGV","Hilton Grand Vacations Inc","$45.04","NYS","Yes","839,830"
"HHH","Howard Hughes Holdings Inc","$79.29","NYS","Yes","493,740"
"HI","Hillenbrand Inc","$31.71","NYS","Yes","964,340"
"HII","Huntington Ingalls Industries Inc","$345.73","NYS","Yes","548,090"
"HLI","Houlihan Lokey Inc","$177.48","NYS","Yes","447,460"
"HLIO","Helios Technologies Inc","$54.49","NYS","Yes","285,580"
"HLNE","Hamilton Lane Inc","$137.35","NASDAQ","Yes","565,830"
"HMC","Honda Motor Co Ltd","$29.64","NYS","Yes","974,990"
"HMN","Horace Mann Educators Corp","$46.57","NYS","Yes","279,940"
"HNGE","Hinge Health Inc","$47.09","NYS","Yes","786,050"
"HQY","Healthequity Inc","$92.78","NASDAQ","Yes","722,160"
"HRI","Herc Holdings Inc","$154.81","NYS","Yes","415,550"
"HRMY","Harmony Biosciences Holdings Inc","$37.91","NASDAQ","Yes","650,250"
"HROW","Harrow Inc","$50.76","NASDAQ","Yes","490,050"
"HRTG","Heritage Insurance Holdings Inc","$29.54","NYS","Yes","273,400"
"HTH","Hilltop Holdings Inc","$34.45","NYS","Yes","356,330"
"HTO","H2O America","$48.89","NASDAQ","Yes","398,320"
"HUBB","Hubbell Inc","$451.39","NYS","Yes","448,840"
"HUBG","Hub Group Inc","$43.71","NASDAQ","Yes","851,270"
"HUBS","HubSpot Inc","$399.37","NYS","Yes","801,040"
"HWC","Hancock Whitney Corp","$64.70","NASDAQ","Yes","740,410"
"HXL","Hexcel Corp","$75.45","NYS","Yes","999,950"
"IBOC","International Bancshares Corp","$67.53","NASDAQ","Yes","317,910"
"ICLR","ICON PLC","$182.36","NASDAQ","Yes","777,000"
"IDA","Idacorp Inc","$127.68","NYS","Yes","413,490"
"IDCC","InterDigital Inc","$330.26","NASDAQ","Yes","264,670"
"IDR","Idaho Strategic Resources Inc","$43.08","NYS","Yes","701,050"
"IDT","IDT Corp","$51.80","NYS","Yes","283,010"
"IDXX","IDEXX Laboratories Inc","$687.89","NASDAQ","Yes","557,840"
"IDYA","IDEAYA Biosciences Inc","$34.84","NASDAQ","Yes","932,240"
"IEX","IDEX Corp","$180.01","NYS","Yes","605,990"
"IIIV","I3 Verticals Inc","$26.30","NASDAQ","Yes","310,460"
"IIPR","Innovative Industrial Properties Inc","$49.85","NYS","Yes","633,970"
"IMO","Imperial Oil Ltd","$85.95","NYS","Yes","493,030"
"INBX","Inhibrx Biosciences Inc","$79.27","NASDAQ","Yes","311,670"
"INDB","Independent Bank Corp (Massachusetts)","$74.69","NASDAQ","Yes","399,610"
"INGR","Ingredion Inc","$111.26","NYS","Yes","761,490"
"INOD","Innodata Inc","$52.08","NASDAQ","Yes","931,600"
"INSW","International Seaways Inc","$49.15","NYS","Yes","500,900"
"INTA","Intapp Inc","$47.52","NASDAQ","Yes","526,830"
"IOSP","Innospec Inc","$78.56","NASDAQ","Yes","258,590"
"IPAR","Interparfums Inc","$84.67","NASDAQ","Yes","327,940"
"IPGP","IPG Photonics Corp","$72.92","NASDAQ","Yes","338,440"
"IRON","Disc Medicine Inc","$78.29","NASDAQ","Yes","856,490"
"IRTC","iRhythm Technologies Inc","$178.60","NASDAQ","Yes","440,600"
"ITGR","Integer Holdings Corp","$78.53","NYS","Yes","726,550"
"ITRI","Itron Inc","$95.10","NASDAQ","Yes","647,300"
"ITT","ITT Inc","$177.43","NYS","Yes","865,090"
"IVT","Inventrust Properties Corp","$28.62","NYS","Yes","462,790"
"J","Jacobs Solutions Inc","$135.28","NYS","Yes","978,980"
"JAZZ","Jazz Pharmaceuticals PLC","$170.50","NASDAQ","Yes","874,980"
"JBHT","J B Hunt Transport Services Inc","$197.55","NASDAQ","Yes","899,360"
"JBTM","JBT Marel Corp","$155.37","NYS","Yes","421,640"
"JKHY","Jack Henry & Associates Inc","$186.42","NASDAQ","Yes","776,350"
"JKS","JinkoSolar Holding Co Ltd","$26.85","NYS","Yes","497,320"
"JLL","Jones Lang LaSalle Inc","$341.07","NYS","Yes","327,620"
"JOYY","JOYY Inc","$65.55","NASDAQ","Yes","295,320"
"JXN","Jackson Financial Inc","$107.66","NYS","Yes","516,810"
"KEX","Kirby Corp","$111.04","NYS","Yes","626,780"
"KFRC","Kforce Inc","$31.88","NYS","Yes","250,350"
"KFY","Korn Ferry","$67.06","NYS","Yes","555,990"
"KLAC","KLA Corp","$1,260.39","NASDAQ","Yes","851,590"
"KLIC","Kulicke and Soffa Industries Inc","$46.29","NASDAQ","Yes","469,380"
"KMPR","Kemper Corp","$40.94","NYS","Yes","837,260"
"KMT","Kennametal Inc","$28.79","NYS","Yes","651,090"
"KNF","Knife River Corp","$72.64","NYS","Yes","477,510"
"KNSA","Kiniksa Pharmaceuticals International PLC","$41.00","NASDAQ","Yes","440,010"
"KNTK","Kinetik Holdings Inc","$35.79","NYS","Yes","988,950"
"KRYS","Krystal Biotech Inc","$253.68","NASDAQ","Yes","268,840"
"KSPI","Kaspi.kz AO","$79.08","NASDAQ","Yes","368,230"
"KTB","Kontoor Brands Inc","$62.17","NYS","Yes","818,420"
"KYMR","Kymera Therapeutics Inc","$80.35","NASDAQ","Yes","846,570"
"L","Loews Corp","$106.24","NYS","Yes","782,450"
