A,Agilent Technologies Inc,Yes,"1,884,040",NYS,$42B (Large),1.3
AA,Alcoa Corp,Yes,"7,430,940",NYS,$16B (Mid),1.91
AAL,American Airlines Group Inc,Yes,"52,015,760",NASDAQ,$11B (Mid),1.26
AAOI,Applied Optoelectronics Inc,Yes,"4,709,420",NASDAQ,$2B (Small),3.3
AAON,Aaon Inc,Yes,"1,121,040",NASDAQ,$7B (Small),1.11
AAP,Advance Auto Parts Inc,Yes,"2,210,070",NYS,$3B (Small),1.18
AAPL,Apple Inc,Yes,"36,923,370",NASDAQ,$4T (Large),1.09
ABAT,American Battery Technology Co,Yes,"6,709,520",NASDAQ,$624M (Micro),0.77
ABBV,AbbVie Inc,Yes,"5,913,750",NYS,$389B (Large),0.34
ABCL,Abcellera Biologics Inc,Yes,"4,727,720",NASDAQ,$1B (Micro),0.82
ABEO,Abeona Therapeutics Inc,Yes,"1,059,060",NASDAQ,$281M (Micro),1.17
ABEV,Ambev SA,Yes,"25,236,650",NYS,$40B (Mid),0.68
ABNB,Airbnb Inc,Yes,"3,221,290",NASDAQ,$84B (Large),1.16
ABR,Arbor Realty Trust Inc,Yes,"3,750,990",NYS,$2B (Micro),1.35
ABSI,Absci Corp,Yes,"3,718,780",NASDAQ,$501M (Micro),2.12
ABT,Abbott Laboratories,Yes,"5,020,330",NYS,$219B (Large),0.75
ABTC,American Bitcoin Corp,Yes,"12,055,650",NASDAQ,$2B (Micro),3.79
ABUS,Arbutus Biopharma Corp,Yes,"1,257,680",NASDAQ,$889M (Micro),0.71
ACAD,ACADIA Pharmaceuticals Inc,Yes,"1,161,800",NASDAQ,$5B (Small),0.66
ACGL,Arch Capital Group Ltd,Yes,"1,491,530",NASDAQ,$35B (Mid),0.42
ACH,Accendra Health Inc,Yes,"2,112,230",NYS,$190M (Micro),1.37
ACHC,Acadia Healthcare Company Inc,Yes,"2,542,170",NASDAQ,$1B (Micro),0.89
ACHR,Archer Aviation Inc,Yes,"37,462,170",NYS,$6B (Small),3.12
ACI,Albertsons Companies Inc,Yes,"11,608,530",NYS,$9B (Mid),0.47
ACMR,ACM Research Inc,Yes,"1,516,200",NASDAQ,$3B (Small),1.49
ACN,Accenture PLC,Yes,"3,315,130",NYS,$173B (Large),1.24
ACVA,ACV Auctions Inc,Yes,"2,168,710",NYS,$2B (Micro),1.63
ADBE,Adobe Inc,Yes,"3,200,180",NASDAQ,$140B (Large),1.51
ADC,Agree Realty Corp,Yes,"1,322,360",NYS,$8B (Mid),0.54
ADI,Analog Devices Inc,Yes,"3,005,070",NASDAQ,$147B (Large),1.04
ADM,Archer-Daniels-Midland Co,Yes,"2,876,160",NYS,$30B (Mid),0.7
ADMA,ADMA Biologics Inc,Yes,"1,937,900",NASDAQ,$4B (Small),0.48
ADNT,Adient PLC,Yes,"1,089,770",NYS,$2B (Micro),1.61
ADP,Automatic Data Processing Inc,Yes,"1,704,710",NASDAQ,$108B (Large),0.85
ADPT,Adaptive Biotechnologies Corp,Yes,"2,109,600",NASDAQ,$2B (Small),2.18
ADSK,Autodesk Inc,Yes,"1,210,660",NASDAQ,$59B (Large),1.45
ADT,ADT Inc,Yes,"4,257,390",NYS,$7B (Small),0.99
AEE,Ameren Corp,Yes,"1,342,110",NYS,$27B (Mid),0.58
AEG,Aegon Ltd,Yes,"3,682,250",NYS,$12B (Mid),0.8
AEHR,Aehr Test Systems,Yes,"1,020,100",NASDAQ,$790M (Micro),2.33
AEM,Agnico Eagle Mines Ltd,Yes,"2,212,650",NYS,$96B (Large),0.63
AEO,American Eagle Outfitters Inc,Yes,"5,464,140",NYS,$5B (Small),1.4
AEP,American Electric Power Company Inc,Yes,"3,123,950",NASDAQ,$62B (Large),0.61
AES,AES Corp,Yes,"6,687,010",NYS,$10B (Mid),0.98
AEVA,Aeva Technologies Inc,Yes,"4,913,430",NASDAQ,$1B (Micro),2.11
AFL,Aflac Inc,Yes,"1,601,470",NYS,$57B (Large),0.67
AFRM,Affirm Holdings Inc,Yes,"3,364,280",NASDAQ,$27B (Mid),3.57
AGIO,Agios Pharmaceuticals Inc,Yes,"1,108,750",NASDAQ,$2B (Micro),0.91
AGL,agilon health inc,Yes,"6,285,440",NYS,$411M (Micro),0.09
AGNC,AGNC Investment Corp,Yes,"20,015,550",NASDAQ,$12B (Mid),1.36
AI,C3.ai Inc,Yes,"5,242,420",NYS,$2B (Micro),1.98
AIG,American International Group Inc,Yes,"5,022,860",NYS,$41B (Mid),0.61
AISP,Airship AI Holdings Inc,Yes,"1,026,640",NASDAQ,$106M (Micro),0.34
AIV,Apartment Investment and Management Co,Yes,"2,075,510",NYS,$854M (Micro),1.35
AJG,Arthur J. Gallagher & Co.,Yes,"1,274,090",NYS,$68B (Large),0.66
AKAM,Akamai Technologies Inc,Yes,"1,901,160",NASDAQ,$13B (Mid),0.7
AKBA,Akebia Therapeutics Inc,Yes,"2,704,110",NASDAQ,$403M (Micro),0.38
AKR,Acadia Realty Trust,Yes,"1,625,520",NYS,$3B (Small),1.15
AL,Air Lease Corp,Yes,"1,280,470",NYS,$7B (Small),1.14
ALB,Albemarle Corp,Yes,"2,975,600",NYS,$19B (Mid),1.44
ALEC,Alector Inc,Yes,"1,068,160",NASDAQ,$203M (Micro),0.65
ALGM,Allegro Microsystems Inc,Yes,"1,665,920",NASDAQ,$6B (Small),1.63
ALHC,Alignment Healthcare Inc,Yes,"2,563,860",NASDAQ,$4B (Small),1.16
ALIT,Alight Inc,Yes,"12,244,090",NYS,$885M (Micro),1.09
ALK,Alaska Air Group Inc,Yes,"2,537,810",NYS,$6B (Small),1.21
ALKS,Alkermes Plc,Yes,"1,653,600",NASDAQ,$5B (Small),0.44
ALKT,Alkami Technology Inc,Yes,"1,119,940",NASDAQ,$2B (Small),0.53
ALL,Allstate Corp,Yes,"1,224,310",NYS,$56B (Large),0.23
ALLO,Allogene Therapeutics Inc,Yes,"4,043,800",NASDAQ,$384M (Micro),0.62
ALNY,Alnylam Pharmaceuticals Inc,Yes,"1,001,810",NASDAQ,$53B (Large),0.35
ALT,Altimmune Inc,Yes,"6,533,490",NASDAQ,$419M (Micro),0.08
ALTO,Alto Ingredients Inc,Yes,"1,261,350",NASDAQ,$185M (Micro),0.58
ALTS,ALT5 Sigma Corp,Yes,"4,284,920",NASDAQ,$176M (Micro),1.85
AM,Antero Midstream Corp,Yes,"2,090,330",NYS,$8B (Mid),0.78
AMAT,Applied Materials Inc,Yes,"5,591,500",NASDAQ,$239B (Large),1.7
AMBA,Ambarella Inc,Yes,"1,083,880",NASDAQ,$3B (Small),1.96
AMC,AMC Entertainment Holdings Inc,Yes,"33,240,780",NYS,$841M (Micro),1.81
AMCR,Amcor PLC,Yes,"15,463,230",NYS,$20B (Mid),0.67
AMD,Advanced Micro Devices Inc,Yes,"25,997,890",NASDAQ,$331B (Large),1.93
AMGN,Amgen Inc,Yes,"2,069,630",NASDAQ,$176B (Large),0.46
AMH,American Homes 4 Rent,Yes,"4,786,490",NYS,$12B (Mid),0.8
AMKR,Amkor Technology Inc,Yes,"4,220,050",NASDAQ,$13B (Mid),2.02
AMPX,Amprius Technologies Inc,Yes,"5,767,220",NYS,$1B (Micro),3.06
AMRX,Amneal Pharmaceuticals Inc,Yes,"1,365,630",NASDAQ,$4B (Small),1.36
AMT,American Tower Corp,Yes,"2,245,360",NYS,$79B (Large),0.93
AMX,America Movil SAB de CV,Yes,"1,640,830",NYS,$61B (Large),0.77
AMZN,Amazon.com Inc,Yes,"35,334,740",NASDAQ,$3T (Large),1.38
ANET,Arista Networks Inc,Yes,"6,429,850",NYS,$155B (Large),1.42
ANF,Abercrombie & Fitch Co,Yes,"1,521,020",NYS,$6B (Small),1.18
ANGO,AngioDynamics Inc,Yes,"1,017,770",NASDAQ,$406M (Micro),0.5
ANNX,Annexon Inc,Yes,"2,522,520",NASDAQ,$759M (Micro),1.18
AOS,A O Smith Corp,Yes,"1,129,180",NYS,$10B (Mid),1.35
APA,APA Corp (US),Yes,"4,899,980",NASDAQ,$9B (Mid),0.74
APD,Air Products and Chemicals Inc,Yes,"1,386,840",NYS,$59B (Large),0.88
APG,APi Group Corp,Yes,"2,461,380",NYS,$18B (Mid),1.71
APH,Amphenol Corp,Yes,"6,457,110",NYS,$172B (Large),1.2
APLD,Applied Digital Corp,Yes,"40,966,140",NASDAQ,$11B (Mid),7.29
APLE,Apple Hospitality REIT Inc,Yes,"2,040,400",NYS,$3B (Small),0.85
APLS,Apellis Pharmaceuticals Inc,Yes,"2,340,270",NASDAQ,$3B (Small),0.26
APLT,Applied Therapeutics Inc,Yes,"7,747,440",NASDAQ,$15M (Micro),2.09
APO,Apollo Global Management Inc,Yes,"2,299,760",NYS,$85B (Large),1.57
APP,Applovin Corp,Yes,"3,272,870",NASDAQ,$219B (Large),2.49
APPS,Digital Turbine Inc,Yes,"2,144,790",NASDAQ,$545M (Micro),2.27
APTV,Aptiv PLC,Yes,"1,664,400",NYS,$19B (Mid),1.52
AQST,Aquestive Therapeutics Inc,Yes,"6,657,380",NASDAQ,$477M (Micro),1.63
AR,Antero Resources Corp,Yes,"5,240,310",NYS,$10B (Mid),0.55
ARBE,Arbe Robotics Ltd,Yes,"8,168,150",NASDAQ,$148M (Micro),0.54
ARCC,Ares Capital Corp,Yes,"4,859,370",NASDAQ,$15B (Mid),0.63
ARCO,Arcos Dorados Holdings Inc,Yes,"1,065,520",NYS,$2B (Micro),0.47
ARDX,Ardelyx Inc,Yes,"7,254,400",NASDAQ,$2B (Micro),0.58
ARE,Alexandria Real Estate Equities Inc,Yes,"2,356,020",NYS,$9B (Mid),1.32
AREC,American Resources Corp,Yes,"4,277,480",NASDAQ,$342M (Micro),1.19
ARES,Ares Management Corp,Yes,"1,512,930",NYS,$57B (Large),1.54
ARHS,Arhaus Inc,Yes,"1,255,530",NASDAQ,$2B (Micro),2.51
ARI,Apollo Commercial Real Estate Finance Inc,Yes,"1,098,340",NYS,$1B (Micro),1.59
ARLO,Arlo Technologies Inc,Yes,"1,059,490",NYS,$1B (Micro),1.66
ARMK,Aramark,Yes,"1,806,550",NYS,$10B (Mid),1.09
AROC,Archrock Inc,Yes,"1,173,200",NYS,$5B (Small),0.92
ARQT,Arcutis Biotherapeutics Inc,Yes,"1,646,530",NASDAQ,$3B (Small),1.71
ARR,ARMOUR Residential REIT Inc,Yes,"3,540,740",NYS,$2B (Micro),1.44
ARRY,Array Technologies Inc,Yes,"5,298,700",NASDAQ,$1B (Micro),1.67
ARWR,Arrowhead Pharmaceuticals Inc,Yes,"3,259,840",NASDAQ,$9B (Mid),1.22
ASAN,Asana Inc,Yes,"2,826,330",NYS,$3B (Small),0.95
ASB,Associated Banc-Corp,Yes,"2,141,410",NYS,$4B (Small),0.81
ASML,ASML Holding NV,Yes,"1,547,010",NASDAQ,$494B (Large),1.89
ASO,Academy Sports and Outdoors Inc,Yes,"1,733,600",NASDAQ,$4B (Small),1.26
ASPN,Aspen Aerogels Inc,Yes,"2,412,850",NYS,$273M (Micro),3
ASTS,AST SpaceMobile Inc,Yes,"18,316,850",NASDAQ,$35B (Mid),2.7
ASX,ASE Technology Holding Co Ltd,Yes,"6,797,720",NYS,$38B (Mid),1.5
ATAI,Atai Beckley NV,Yes,"3,783,830",NASDAQ,$1B (Micro),1.61
ATEC,Alphatec Holdings Inc,Yes,"1,872,850",NASDAQ,$3B (Small),1.03
ATI,ATI Inc,Yes,"1,135,320",NYS,$17B (Mid),1.02
ATOS,Atossa Therapeutics Inc,Yes,"1,496,070",NASDAQ,$83M (Micro),1.37
ATYR,aTyr Pharma Inc,Yes,"1,885,100",NASDAQ,$70M (Micro),0.59
AU,Anglogold Ashanti PLC,Yes,"2,065,960",NYS,$47B (Large),0.6
AUPH,Aurinia Pharmaceuticals Inc,Yes,"1,053,120",NASDAQ,$2B (Micro),1.51
AUR,Aurora Innovation Inc,Yes,"19,312,780",NASDAQ,$9B (Mid),2.49
AUTL,Autolus Therapeutics PLC,Yes,"2,638,500",NASDAQ,$482M (Micro),1.97
AVAH,Aveanna Healthcare Holdings Inc,Yes,"1,281,740",NASDAQ,$2B (Micro),2.06
AVAV,AeroVironment Inc,Yes,"1,492,600",NASDAQ,$18B (Mid),1.25
AVDL,Avadel Pharmaceuticals PLC,Yes,"1,166,890",NASDAQ,$2B (Micro),1.31
AVGO,Broadcom Inc,Yes,"21,974,180",NASDAQ,$2T (Large),1.22
AVPT,AvePoint Inc,Yes,"1,574,990",NASDAQ,$3B (Small),1.09
AVTR,Avantor Inc,Yes,"8,446,900",NYS,$8B (Mid),0.95
AVXL,Anavex Life Sciences Corp,Yes,"1,996,950",NASDAQ,$382M (Micro),1.21
AWK,American Water Works Co Inc,Yes,"1,229,220",NYS,$25B (Mid),0.76
AXL,American Axle & Manufacturing Holdings Inc,Yes,"2,539,810",NYS,$929M (Micro),1.61
AXP,American Express Co,Yes,"2,027,780",NYS,$259B (Large),1.15
AXSM,Axsome Therapeutics Inc,Yes,"1,028,460",NASDAQ,$9B (Mid),0.39
AXTA,Axalta Coating Systems Ltd,Yes,"2,831,480",NYS,$7B (Small),1.29
AXTI,AXT Inc,Yes,"9,793,220",NASDAQ,$1B (Micro),1.98
AZN,AstraZeneca PLC,Yes,"4,197,520",NASDAQ,$294B (Large),0.35
B,Barrick Mining Corp,Yes,"11,532,030",NYS,$81B (Large),0.4
BA,Boeing Co,Yes,"7,100,570",NYS,$184B (Large),1.15
BABA,Alibaba Group Holding Ltd,Yes,"11,643,870",NYS,$360B (Large),0.38
BAC,Bank of America Corp,Yes,"27,481,030",NYS,$408B (Large),1.29
BAH,Booz Allen Hamilton Holding Corp,Yes,"1,758,080",NYS,$12B (Mid),0.34
BALL,Ball Corp,Yes,"2,194,680",NYS,$15B (Mid),1.13
BANC,Banc of California Inc,Yes,"1,692,410",NYS,$3B (Small),0.73
BARK,Bark Inc,Yes,"1,798,080",NYS,$106M (Micro),1.89
BAX,Baxter International Inc,Yes,"8,345,800",NYS,$11B (Mid),0.59
BB,BlackBerry Ltd,Yes,"7,770,980",NYS,$2B (Small),1.63
BBAI,BigBear.ai Holdings Inc,Yes,"58,337,880",NYS,$3B (Small),3.22
BBBY,Bed Bath & Beyond Inc,Yes,"2,285,580",NYS,$472M (Micro),3.01
BBD,Banco Bradesco SA,Yes,"23,532,580",NYS,$18B (Mid),0.5
BBIO,BridgeBio Pharma Inc,Yes,"2,081,300",NASDAQ,$15B (Mid),1.13
BBVA,Banco Bilbao Vizcaya Argentaria SA,Yes,"1,472,140",NYS,$136B (Large),0.85
BBWI,Bath & Body Works Inc,Yes,"6,064,800",NYS,$5B (Small),1.54
BBY,Best Buy Co Inc,Yes,"4,333,820",NYS,$15B (Mid),1.46
BCAB,Bioatla Inc,Yes,"2,609,080",NASDAQ,$21M (Micro),1.08
BCE,BCE Inc,Yes,"2,944,800",NYS,$22B (Mid),0.64
BCRX,BioCryst Pharmaceuticals Inc,Yes,"3,586,320",NASDAQ,$2B (Micro),0.83
BCS,Barclays PLC,Yes,"5,097,980",NYS,$90B (Large),0.96
BDN,Brandywine Realty Trust,Yes,"7,690,190",NYS,$525M (Micro),1.28
BDX,Becton Dickinson and Co,Yes,"1,430,560",NYS,$58B (Large),0.25
BE,Bloom Energy Corp,Yes,"11,218,420",NYS,$32B (Mid),3.09
BEAM,Beam Therapeutics Inc,Yes,"1,408,790",NASDAQ,$3B (Small),2.12
BEN,Franklin Resources Inc,Yes,"4,000,390",NYS,$13B (Mid),1.48
BF/B,Brown-Forman Corp,Yes,"4,316,590",NYS,$8B (Mid),0.4
BFLY,Butterfly Network Inc,Yes,"3,808,600",NYS,$1B (Micro),2.27
BG,Bunge Global SA,Yes,"1,537,430",NYS,$19B (Mid),0.77
BGC,Bgc Group Inc,Yes,"1,832,080",NASDAQ,$4B (Small),1.04
BGS,B&G Foods Inc,Yes,"1,893,000",NYS,$334M (Micro),0.51
BHC,Bausch Health Companies Inc,Yes,"1,744,210",NYS,$3B (Small),0.42
BHP,BHP Group Ltd,Yes,"3,346,660",NYS,$157B (Large),0.81
BHVN,Biohaven Ltd,Yes,"3,914,970",NYS,$1B (Micro),3.54
BIDU,Baidu Inc,Yes,"4,298,580",NASDAQ,$49B (Large),0.32
BIIB,Biogen Inc,Yes,"1,315,280",NASDAQ,$28B (Mid),0.16
BILI,Bilibili Inc,Yes,"2,428,220",NASDAQ,$10B (Mid),0.73
BILL,BILL Holdings Inc,Yes,"1,995,380",NYS,$5B (Small),1.31
BJ,BJ's Wholesale Club Holdings Inc,Yes,"1,594,090",NYS,$12B (Mid),0.36
BK,Bank of New York Mellon Corp,Yes,"2,983,440",NYS,$83B (Large),1.1
BKD,Brookdale Senior Living Inc,Yes,"2,949,080",NYS,$3B (Small),0.69
BKKT,Bakkt Holdings Inc,Yes,"1,564,140",NYS,$391M (Micro),5.94
BKR,Baker Hughes Co,Yes,"6,554,900",NASDAQ,$49B (Large),0.88
BKSY,Blacksky Technology Inc,Yes,"1,404,530",NYS,$919M (Micro),2.44
BLDP,Ballard Power Systems Inc,Yes,"2,883,130",NASDAQ,$830M (Micro),1.76
BLDR,Builders FirstSource Inc,Yes,"1,709,920",NYS,$14B (Mid),1.57
BLMN,Bloomin' Brands Inc,Yes,"2,314,740",NASDAQ,$598M (Micro),1.15
BLND,Blend Labs Inc,Yes,"1,976,820",NYS,$855M (Micro),1.25
BLNK,Blink Charging Co,Yes,"4,195,980",NASDAQ,$106M (Micro),1.84
BMBL,Bumble Inc,Yes,"2,962,070",NASDAQ,$916M (Micro),1.96
BMNR,Bitmine Immersion Technologies Inc,Yes,"39,773,880",NYS,$13B (Mid),1.35
BMRN,BioMarin Pharmaceutical Inc,Yes,"1,798,910",NASDAQ,$11B (Mid),0.26
BMY,Bristol-Myers Squibb Co,Yes,"11,383,630",NYS,$114B (Large),0.3
BN,Brookfield Corp,Yes,"4,247,060",NYS,$118B (Large),1.59
BNL,Broadstone Net Lease Inc,Yes,"1,978,810",NYS,$3B (Small),1.02
BNS,Bank of Nova Scotia,Yes,"2,635,180",NYS,$89B (Large),1.1
BORR,Borr Drilling Ltd,Yes,"4,323,120",NYS,$1B (Micro),1.1
BOX,Box Inc,Yes,"2,020,040",NYS,$4B (Small),0.8
BP,BP PLC,Yes,"9,180,580",NYS,$89B (Large),0.32
BRBR,Bellring Brands Inc,Yes,"3,605,370",NYS,$3B (Small),0.63
BRKR,Bruker Corp,Yes,"1,965,930",NASDAQ,$8B (Mid),1.19
BRO,Brown & Brown Inc,Yes,"2,387,210",NYS,$28B (Mid),0.79
BROS,Dutch Bros Inc,Yes,"2,697,330",NYS,$10B (Mid),2.55
BRSL,Brightstar Lottery PLC,Yes,"1,529,650",NYS,$3B (Small),1.06
BRX,Brixmor Property Group Inc,Yes,"2,534,780",NYS,$8B (Mid),1.09
BRZE,Braze Inc,Yes,"1,562,670",NASDAQ,$3B (Small),1.07
BSX,Boston Scientific Corp,Yes,"6,653,460",NYS,$145B (Large),0.67
BSY,Bentley Systems Inc,Yes,"2,024,800",NASDAQ,$12B (Mid),1.21
BTBT,Bit Digital Inc,Yes,"33,407,550",NASDAQ,$709M (Micro),3.95
BTDR,Bitdeer Technologies Group,Yes,"3,934,470",NASDAQ,$2B (Small),2.33
BTI,British American Tobacco plc,Yes,"3,057,440",NYS,$120B (Large),0.31
BTU,Peabody Energy Corp,Yes,"2,441,700",NYS,$4B (Small),0.51
BUD,Anheuser-Busch Inbev SA,Yes,"1,477,560",NYS,$118B (Large),0.54
BVN,Compania de Minas Buenaventura SAA,Yes,"1,769,690",NYS,$8B (Mid),0.33
BW,Babcock & Wilcox Enterprises Inc,Yes,"3,510,820",NYS,$883M (Micro),1.56
BWA,Borgwarner Inc,Yes,"1,806,030",NYS,$10B (Mid),1.09
BWIN,Baldwin Insurance Group Inc,Yes,"1,107,290",NASDAQ,$4B (Small),1.34
BX,Blackstone Inc,Yes,"3,181,730",NYS,$192B (Large),1.76
BXMT,Blackstone Mortgage Trust Inc,Yes,"1,420,950",NYS,$3B (Small),1.1
BXP,BXP Inc,Yes,"1,316,620",NYS,$11B (Mid),1.03
BXSL,Blackstone Secured Lending Fund,Yes,"1,976,570",NYS,$6B (Small),0.45
BYND,Beyond Meat Inc,Yes,"63,459,570",NASDAQ,$442M (Micro),2.67
BZ,Kanzhun Ltd,Yes,"2,958,670",NASDAQ,$8B (Mid),0.42
BZAI,Blaize Holdings Inc,Yes,"1,601,060",NASDAQ,$260M (Micro),0.35
C,Citigroup Inc,Yes,"11,158,570",NYS,$217B (Large),1.16
CABA,Cabaletta Bio Inc,Yes,"1,726,780",NASDAQ,$202M (Micro),3.26
CADE,Cadence Bank,Yes,"1,765,560",NYS,$8B (Mid),0.96
CAH,Cardinal Health Inc,Yes,"1,404,790",NYS,$48B (Large),0.65
CAKE,Cheesecake Factory Inc,Yes,"1,239,550",NASDAQ,$3B (Small),1.01
CALM,Cal-Maine Foods Inc,Yes,"1,625,020",NASDAQ,$4B (Small),0.24
CAN,Canaan Inc,Yes,"14,465,770",NASDAQ,$536M (Micro),2.86
CAPR,Capricor Therapeutics Inc,Yes,"1,443,360",NASDAQ,$1B (Micro),0.37
CAPT,Captivision Inc,Yes,"2,021,820",NASDAQ,$13M (Micro),1.07
CARR,Carrier Global Corp,Yes,"5,166,600",NYS,$47B (Large),1.32
CAT,Caterpillar Inc,Yes,"2,204,460",NYS,$289B (Large),1.57
CATX,Perspective Therapeutics Inc,Yes,"1,065,120",NYS,$211M (Micro),1.75
CB,Chubb Ltd,Yes,"1,305,980",NYS,$121B (Large),0.5
CBRE,CBRE Group Inc,Yes,"1,030,520",NYS,$49B (Large),1.34
CBRL,Cracker Barrel Old Country Store Inc,Yes,"1,693,480",NASDAQ,$670M (Micro),1.29
CC,Chemours Co,Yes,"2,362,460",NYS,$2B (Small),1.63
CCC,CCC Intelligent Solutions Holdings Inc,Yes,"6,671,760",NASDAQ,$5B (Small),0.67
CCCC,C4 Therapeutics Inc,Yes,"1,154,140",NASDAQ,$207M (Micro),2.98
CCEP,Coca-Cola Europacific Partners PLC,Yes,"1,353,740",NASDAQ,$40B (Mid),0.52
CCI,Crown Castle Inc,Yes,"2,311,890",NYS,$36B (Mid),0.98
CCL,Carnival Corp,Yes,"15,702,250",NYS,$37B (Mid),2.49
CCO,Clear Channel Outdoor Holdings Inc,Yes,"1,868,440",NYS,$1B (Micro),2.31
CCOI,Cogent Communications Holdings Inc,Yes,"1,074,310",NASDAQ,$1B (Micro),0.79
CDE,Coeur Mining Inc,Yes,"19,906,740",NYS,$13B (Mid),1.22
CDLX,Cardlytics Inc,Yes,"1,120,020",NASDAQ,$73M (Micro),1.06
CDNS,Cadence Design Systems Inc,Yes,"1,607,490",NASDAQ,$89B (Large),1.01
CDP,COPT Defense Properties,Yes,"1,274,690",NYS,$3B (Small),0.88
CDW,CDW Corp,Yes,"1,271,590",NASDAQ,$17B (Mid),1.07
CDXS,Codexis Inc,Yes,"1,045,770",NASDAQ,$148M (Micro),2.47
CE,Celanese Corp,Yes,"1,718,210",NYS,$5B (Small),1.12
CEG,Constellation Energy Corp,Yes,"2,547,800",NASDAQ,$107B (Large),1.14
CELH,Celsius Holdings Inc,Yes,"4,307,370",NASDAQ,$14B (Mid),0.9
CENN,Cenntro Inc (The Corporation),Yes,"1,653,770",NASDAQ,$14M (Micro),1.72
CENX,Century Aluminum Co,Yes,"1,947,860",NASDAQ,$4B (Small),2.25
CERT,Certara Inc,Yes,"1,992,850",NASDAQ,$1B (Micro),1.48
CF,CF Industries Holdings Inc,Yes,"2,066,860",NYS,$13B (Mid),0.7
CFG,Citizens Financial Group Inc,Yes,"3,907,900",NYS,$26B (Mid),1.09
CFLT,Confluent Inc,Yes,"10,098,720",NASDAQ,$11B (Mid),0.95
CG,Carlyle Group Inc,Yes,"1,611,890",NASDAQ,$24B (Mid),2.05
CGNX,Cognex Corp,Yes,"1,333,530",NASDAQ,$7B (Small),1.54
CHD,Church & Dwight Co Inc,Yes,"1,843,870",NYS,$21B (Mid),0.46
CHGG,Chegg Inc,Yes,"1,064,430",NYS,$103M (Micro),1.99
CHRS,Coherus Oncology Inc,Yes,"1,503,360",NASDAQ,$204M (Micro),1
CHRW,CH Robinson Worldwide Inc,Yes,"1,473,100",NASDAQ,$20B (Mid),0.9
CHTR,Charter Communications Inc,Yes,"1,610,970",NASDAQ,$27B (Mid),1.05
CHWY,Chewy Inc,Yes,"6,819,090",NYS,$13B (Mid),1.59
CI,Cigna Group,Yes,"1,310,230",NYS,$75B (Large),0.28
CIEN,Ciena Corp,Yes,"2,426,060",NYS,$32B (Mid),1.13
CIFR,Cipher Mining Inc,Yes,"20,565,600",NASDAQ,$7B (Small),2.96
